ác nghiệt
áng chừng
ảnh hưởng
áo choàng
bá nghiệp
bạc nghĩa
bạc nhược
bách chiến
bách công
bách khoa
bách nghệ
bách phân
bách sinh
bách thanh
bách thảo
bách thắng
bách tính
bạch biến
bạch cung
bạch dương
bạch đinh
bạch huyết
bạch ngọc
bạch nhật
bạch phiến
bạch tạng
bạch thoại
bạch tuộc
bạch tuyết
bài ngoại
bài thuốc
bãi chiến
bãi triều
bãi trường
bại tướng
ban chiều
ban phước
ban thưởng
bàn chông
bàn thạch
bản doanh
bản quyền
bản triều
bán nguyệt
bạn đường
bang giao
bang trưởng
bàng hoàng
bàng quan
bàng quang
bàng thính
bảng hiệu
bảng lảng
bảng nhãn
bảng vàng
bành bạch
bành bạnh
bành trướng
bảnh chọe
bảnh trai
bánh bàng
bánh bỏng
bánh chay
bánh chưng
bánh khảo
bánh khoai
bánh khoái
bánh ngọt
bánh nướng
bánh phồng
bánh răng
bánh trái
bánh tráng
bao chiếm
bao nhiêu
bao quanh
bảo chứng
bảo dưỡng
bảo hoàng
bão tuyết
báo trước
bạo chính
bạo nghịch
bạo ngược
bát hương
bạt chúng
bạt thiệp
bay chuyền
bày chuyện
bắc thuộc
băn khoăn
bắn tiếng
băng chuyền
băng dương
băng điểm
băng huyết
băng nguyên
băng nhân
băng phiến
băng tích
băng tuyết
bằng chân
bằng chứng
bằng không
bằng lòng
bằng phẳng
bằng thừa
bắng nhắng
bặng nhặng
bắt chuyện
bắt chước
bắt giọng
bắt quyết
bặt thiệp
bấm chuông
bần huyết
bâng khuâng
bất chính
bất khuất
bất lương
bất nghĩa
bất nhược
bất thuận
bất thường
bất trung
bất tuyệt
bất tường
bây nhiêu
bấy nhiêu
bên ngoài
bên ngoại
bên nguyên
bên trong
bềnh bệch
bềnh bồng
bệnh binh
bệnh chứng
bệnh hoạn
bệnh nhân
bệnh viện
bi thương
bí truyền
bị thương
bia miệng
bích chương
bích ngọc
biên cảnh
biên chép
biên cương
biên dịch
biên giới
biên nhận
biên niên
biên phòng
biên soạn
biên thùy
biền biệt
biển khơi
biển tiến
biến cách
biến chất
biến chuyển
biến chứng
biến dạng
biến diễn
biến động
biến hình
biến loạn
biến ngôi
biến nhiệt
biến phân
biến thái
biến thiên
biến tính
biến tướng
biện bạch
biện chứng
biện giải
biện luận
biện minh
biện pháp
biện thuyết
biêng biếc
biếng chơi
biếng nhác
biết bụng
biết chừng
biết điều
biết thân
biệt danh
biệt dược
biệt hiệu
biệt kích
biệt nhãn
biệt phái
biệt thức
biệt tích
biểu diển
biểu diễn
biểu dương
biểu hiện
biểu kiến
biểu quyết
biểu sinh
biểu thức
biểu tình
biểu tượng
binh biến
binh chủng
binh dịch
binh đoàn
binh lính
binh nhất
binh pháp
binh phục
binh quyền
binh thuyền
binh tình
binh xưởng
bình bịch
bình bồng
bình chân
bình công
bình đẳng
bình điện
bình định
bình định
bình hành
bình hương
bình khang
bình lặng
bình luận
bình minh
bình nghị
bình nguyên
bình nhật
bình phẩm
bình phong
bình phóng
bình phục
bình phương
bình quân
bình quyền
bình sinh
bình thản
bình thủy
bình thường
bình tích
bình tình
bình tĩnh
bình tươi
bính bong
bính boong
bịnh chứng
bịnh dịch
bịnh nhân
bịnh viện
bịt miệng
bong bóng
bòng bong
bòng chanh
bóng dáng
bóng loáng
bóng trăng
boong boong
bóp miệng
bóp nghẹt
bổ khuyết
bộ trưởng
bốc thuốc
bộc tuệch
bồi dưỡng
bồi thường
bội chung
bội nghĩa
bội nhiễm
bốn phương
bông băng
bông lông
bông phèng
bồng bềnh
bồng súng
bổng ngoại
bỗng chốc
bỗng dưng
bỗng không
bỗng nhiên
bơi xuồng
bớt miệng
bụm miệng
bung bủng
bung búng
bung xung
bùng bùng
bùng cháy
bùng nhùng
bụng chân
bụng dưới
bụng nhụng
buộc lòng
buổi chiều
buổi sáng
buổi trưa
buôn buốt
buôn người
buôn tiền
buồn cười
buồn lòng
buồn phiền
buồn rượi
buồn tênh
buồn thảm
buồn thiu
buồn tình
buông lỏng
buông miệng
buông tay
buông tha
buông trôi
buông tuồng
buông xõng
buông xuôi
buồng đào
buồng giấy
buồng hoa
buồng không
buồng khuê
buồng lái
buồng máy
buồng the
buồng tối
buồng trứng
buột miệng
bức thiết
bức tranh
bưng biền
bừng bừng
bước đường
bước lướt
bước ngoặt
bước tiến
bưởi đường
bươm bướm
bướng bỉnh
bướu giáp
bưu chính
bưu thiếp
cách biệt
cách chức
cách điện
cách mạng
cách ngôn
cách nhật
cách quãng
cách rách
cách thủy
cách thức
cải chính
cải lương
cải nhiệm
cải thiện
cải trang
cải trắng
cải xoong
cãi bướng
cam chanh
cam đường
cam tuyền
cảm nhiễm
cảm phong
cảm quang
cảm thông
cảm thương
cảm tưởng
can thiệp
can trường
cáng đáng
canh cách
canh cánh
canh chầy
canh giấm
canh khuya
canh nông
canh phòng
canh riêu
canh thiếp
canh tuần
cành cạch
cành chiết
cành ghép
cành giâm
cành nanh
cành nhánh
cảnh binh
cảnh giác
cảnh giới
cảnh huống
cảnh phông
cảnh quan
cảnh tình
cảnh tỉnh
cảnh tượng
cánh buồm
cánh cung
cánh cứng
cánh đồng
cánh gián
cánh giống
cánh khác
cánh khuỷ
cánh kiến
cánh màng
cánh phấn
cánh quạt
cánh quân
cánh sinh
cánh thẳng
cạnh khóe
cạnh tranh
cao cường
cao đường
cao khiết
cao lương
cao nghều
cao ngồng
cao nguyên
cao thượng
cáo chung
cáo trạng
cạp chiếu
cát tuyến
cát tường
cay nghiệt
cắm ruộng
căn nguyên
căng thẳng
cằng chân
cẳng chân
cặp nhiệt
cắt ngang
cắt nghĩa
cắt thuốc
cầm chừng
cầm quyền
cầm trịch
cẩm chướng
cẩm nhung
cẩm thạch
cấm phòng
cấm thành
cần thiết
cần vương
cẩn trọng
cận chiến
cận huống
câng câng
cấp dưỡng
cất giọng
cất miệng
cất quyền
cất tiếng
câu chuyện
cầu chứng
cầu duyên
cầu đường
cầu nguyện
cầu phong
cầu phương
cầu thang
cầu trượt
cấu thành
cấu tượng
cầy giông
cầy hương
chài lưới
chải chuốt
chạm chìm
chạm trán
chan chan
chan chán
chan chát
chan chứa
chán chết
chán chưa
chán chường
chán ghét
chán ngán
chán ngắt
chán ngấy
chang chang
chàng hảng
chàng hiu
chàng trai
chạng vạng
chanh chòi
chanh chua
chanh cốm
chanh đào
chanh yên
chành bành
chánh hội
chánh phạm
chánh tổng
chạnh lòng
chào hàng
chào mừng
cháo quẩy
cháu chắt
cháu ngoại
chay tịnh
chày kình
chảy thây
cháy bùng
chạy chọt
chạy chữa
chạy điện
chạy giấy
chạy hiệu
chạy làng
chạy loạn
chạy quanh
chạy rông
chạy tang
chạy theo
chạy thoát
chạy tiền
chạy việc
chắc chắn
chắc chân
chắc nịch
chăm chắm
chăm chút
chằm chằm
chằm chặp
chăn chiếu
chăn nuôi
chằn tinh
chắn xích
chặn đứng
chặn giấy
chặn họng
chăng lưới
chăng màn
chăng nữa
chằng chéo
chằng chịt
chẳng bằng
chẳng cần
chẳng chi
chẳng hạn
chẳng may
chẳng những
chẳng nữa
chẳng qua
chẳng quản
chẳng sao
chẳng thà
chẳng trách
chẳng vừa
chắp nhặt
chắt chiu
châm biếm
châm chích
châm chọc
châm chước
châm ngôn
chầm chậm
chầm chập
chấm chấm
chấm công
chấm lửng
chấm phần
chấm phẩy
chấm phết
chấm than
chậm chạp
chậm tiến
chân chấu
chân chính
chân dung
chân không
chân khớp
chân kính
chân phương
chân thành
